date,symbols_with_data,has_any_data,trade_count,had_trade
2026-01-01,499,1,5,1
2026-01-02,499,1,5,1
2026-01-05,499,1,5,1
2026-01-06,499,1,5,1
2026-01-07,499,1,5,1
2026-01-08,499,1,5,1
2026-01-09,499,1,5,1
2026-01-12,499,1,5,1
2026-01-13,499,1,5,1
2026-01-14,499,1,5,1
2026-01-15,420,1,5,1
2026-01-16,499,1,5,1
2026-01-19,499,1,5,1
2026-01-20,499,1,5,1
2026-01-21,499,1,5,1
2026-01-22,499,1,5,1
2026-01-23,499,1,5,1
2026-01-26,0,0,0,0
2026-01-27,494,1,5,1
2026-01-28,494,1,5,1
2026-01-29,494,1,5,1
2026-01-30,494,1,5,1
2026-02-02,494,1,5,1
2026-02-03,494,1,5,1
2026-02-04,494,1,5,1
2026-02-05,494,1,5,1
2026-02-06,494,1,5,1
2026-02-09,494,1,5,1
2026-02-10,494,1,5,1
2026-02-11,494,1,5,1
2026-02-12,494,1,5,1
2026-02-13,494,1,5,1
2026-02-16,494,1,5,1
2026-02-17,494,1,5,1
2026-02-18,494,1,5,1
2026-02-19,494,1,5,1
2026-02-20,494,1,5,1
2026-02-23,494,1,5,1
2026-02-24,494,1,5,1
2026-02-25,494,1,5,1
2026-02-26,494,1,5,1
2026-02-27,494,1,5,1
2026-03-02,494,1,5,1
2026-03-03,0,0,0,0
2026-03-04,494,1,5,1
2026-03-05,494,1,5,1
2026-03-06,494,1,5,1
2026-03-09,494,1,5,1
2026-03-10,494,1,5,1
2026-03-11,494,1,5,1
2026-03-12,494,1,5,1
2026-03-13,494,1,5,1
2026-03-16,494,1,5,1
2026-03-17,494,1,5,1
2026-03-18,494,1,5,1
2026-03-19,494,1,5,1
2026-03-20,494,1,5,1
2026-03-23,494,1,5,1
2026-03-24,494,1,5,1
2026-03-25,494,1,5,1
2026-03-26,0,0,0,0
2026-03-27,494,1,5,1
2026-03-30,494,1,5,1
2026-03-31,0,0,0,0
