feature,pearson,spearman,abs_pearson,abs_spearman
sentiment,-0.022794942168787323,-0.02048704182326909,0.022794942168787323,0.02048704182326909
price_momentum_slope,-0.019926723606261992,-0.017192064128999443,0.019926723606261992,0.017192064128999443
rsi,-0.01712697487505773,-0.01623185304246387,0.01712697487505773,0.01623185304246387
bb_position,-0.016291361225080278,-0.016391137734525767,0.016291361225080278,0.016391137734525767
hour,0.016163872949486676,0.015505410802413782,0.016163872949486676,0.015505410802413782
williams_r,-0.015609652114691279,-0.015425673239321463,0.015609652114691279,0.015425673239321463
vol_regime,0.015259660761701632,0.015259660761699642,0.015259660761701632,0.015259660761699642
volume_anomaly,0.01417962259250211,0.013440819202055266,0.01417962259250211,0.013440819202055266
volume_ma_ratio,0.013951302997178783,0.013440825252533577,0.013951302997178783,0.013440825252533577
stoch_d,-0.013373088073928913,-0.014585297904661655,0.013373088073928913,0.014585297904661655
atr,0.011314884121538268,0.018798662141545075,0.011314884121538268,0.018798662141545075
is_closing_hour,0.010725487257068015,0.024102271544865557,0.010725487257068015,0.024102271544865557
macd_histogram,-0.010189915401597194,-0.014448663082929544,0.010189915401597194,0.014448663082929544
volume_change,-0.009234594087202562,-0.007357858819748157,0.009234594087202562,0.007357858819748157
returns_5m,-0.0089626532794623,-0.020496173450572187,0.0089626532794623,0.020496173450572187
upper_shadow,0.006252493269522301,0.010059317166036336,0.006252493269522301,0.010059317166036336
high_low_range,0.004151494720975589,0.009123867987554657,0.004151494720975589,0.009123867987554657
lower_shadow,0.0033604896088614117,0.007210019015081656,0.0033604896088614117,0.007210019015081656
body_size,0.0028187605831769373,0.006568734763618006,0.0028187605831769373,0.006568734763618006
realized_vol_60m,-0.0025139178096906206,-0.0025414387263473282,0.0025139178096906206,0.0025414387263473282
atr_percent,0.0021549225819295255,0.0058982863762145725,0.0021549225819295255,0.0058982863762145725
intraday_momentum,-0.001155944253663176,-0.00014790695033686463,0.001155944253663176,0.00014790695033686463
realized_vol_30m,-0.00038729793347944716,-0.0002653027009282256,0.00038729793347944716,0.0002653027009282256
garman_klass_vol,-0.000192733291994563,0.00247934899171026,0.000192733291994563,0.00247934899171026
bb_upper,,,,
kijun_sen,,,,
tenkan_sen,,,,
bb_lower,,,,
trend_strength,,,,
momentum_divergence,,,,
